,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
96,171,CASH_OUT,6501296.36,C1026263737,6501296.36,0.0,C45760834,0.0,6501296.36,1,0
97,171,TRANSFER,6501296.36,C612440112,6501296.36,0.0,C1415278169,0.0,0.0,1,0
98,170,CASH_OUT,335859.86,C1805393654,335859.86,0.0,C2116650207,0.0,335859.86,1,0
99,170,TRANSFER,335859.86,C1945733096,335859.86,0.0,C2017325306,0.0,0.0,1,0
100,170,CASH_OUT,871893.15,C776075442,871893.15,0.0,C505864940,25841898.08,26713791.23,1,0
101,170,TRANSFER,871893.15,C139567724,871893.15,0.0,C2000039513,0.0,0.0,1,0
102,170,CASH_OUT,908858.12,C529588126,908858.12,0.0,C383086012,0.0,908858.12,1,0
103,170,TRANSFER,908858.12,C1145874885,908858.12,0.0,C1766823822,0.0,0.0,1,0
104,170,CASH_OUT,2612915.2,C382837005,2612915.2,0.0,C386229497,7374588.54,9987503.74,1,0
105,170,TRANSFER,2612915.2,C1173597457,2612915.2,0.0,C1668522161,0.0,0.0,1,0
106,467,TRANSFER,171623.1,C1057975418,171623.1,0.0,C864888723,0.0,0.0,1,0
107,467,CASH_OUT,171623.1,C859067773,171623.1,0.0,C936547996,76632.01,248255.12,1,0
108,467,TRANSFER,5937.19,C904059459,5937.19,0.0,C1237495348,0.0,0.0,1,0
109,467,CASH_OUT,5937.19,C1719825701,5937.19,0.0,C1058945845,36171.27,42108.46,1,0
110,467,TRANSFER,2108440.98,C581609779,2108440.98,0.0,C224105862,0.0,0.0,1,0
111,467,CASH_OUT,2108440.98,C858034086,2108440.98,0.0,C233159904,0.0,2108440.98,1,0
112,467,TRANSFER,269722.42,C280460099,269722.42,0.0,C1478799121,0.0,0.0,1,0
113,467,CASH_OUT,269722.42,C1709776685,269722.42,0.0,C1845662039,24817.83,294540.26,1,0
114,466,TRANSFER,230806.85,C549647828,230806.85,0.0,C13373079,0.0,0.0,1,0
115,466,CASH_OUT,4364760.42,C821777202,4364760.42,0.0,C1421637972,91395.98,4456156.41,1,0
116,466,TRANSFER,4364760.42,C1197632627,4364760.42,0.0,C736141903,0.0,0.0,1,0
117,460,CASH_OUT,58058.98,C625520344,58058.98,0.0,C1699367271,822974.58,881033.56,1,0
118,460,CASH_OUT,217666.25,C1488044664,217666.25,0.0,C60471121,92402.62,310068.87,1,0
119,460,TRANSFER,1424002.7,C777622163,1424002.7,0.0,C413417554,0.0,0.0,1,0
120,460,CASH_OUT,1424002.7,C9486206,1424002.7,0.0,C2094181723,11407.5,1435410.19,1,0
121,461,TRANSFER,1464614.79,C915102234,1464614.79,0.0,C475837987,0.0,0.0,1,0
122,461,CASH_OUT,1464614.79,C1138281794,1464614.79,0.0,C1873232780,0.0,1464614.79,1,0
123,461,TRANSFER,6273660.45,C1269763321,6273660.45,0.0,C7990337,0.0,0.0,1,0
124,461,CASH_OUT,6273660.45,C107395739,6273660.45,0.0,C133285167,763912.31,7037572.76,1,0
125,461,TRANSFER,1028284.82,C469537628,1028284.82,0.0,C161770106,0.0,0.0,1,0
126,461,CASH_OUT,1028284.82,C2004363483,1028284.82,0.0,C165602524,0.0,1028284.82,1,0
127,461,TRANSFER,125153.57,C1460980455,125153.57,0.0,C698942634,0.0,0.0,1,0
128,461,CASH_OUT,125153.57,C1856719659,125153.57,0.0,C1226867237,7517.14,132670.71,1,0
129,461,TRANSFER,830991.53,C1642150548,830991.53,0.0,C1757788418,0.0,0.0,1,0
130,461,CASH_OUT,830991.53,C307666203,830991.53,0.0,C1498742715,48795.65,879787.17,1,0
131,461,TRANSFER,873356.47,C1856023832,873356.47,0.0,C625389009,0.0,0.0,1,0
132,461,CASH_OUT,873356.47,C528486707,873356.47,0.0,C759025632,105657.71,979014.18,1,0
133,38,CASH_OUT,448004.86,C949792674,448004.86,0.0,C1152369407,147828.66,595833.52,1,0
134,38,TRANSFER,448004.86,C2088582248,448004.86,0.0,C534171533,0.0,0.0,1,0
135,461,TRANSFER,227955.85,C32167725,227955.85,0.0,C1980945664,0.0,0.0,1,0
136,461,CASH_OUT,227955.85,C1180847965,227955.85,0.0,C217315121,2560547.71,2788503.56,1,0
137,461,TRANSFER,226689.16,C1210027591,226689.16,0.0,C673284647,0.0,0.0,1,0
138,461,CASH_OUT,226689.16,C98982423,226689.16,0.0,C229328572,173244.92,399934.08,1,0
139,462,TRANSFER,151994.59,C1101966116,151994.59,0.0,C1518422608,0.0,0.0,1,0
140,462,CASH_OUT,151994.59,C1333813455,151994.59,0.0,C1158263027,0.0,151994.59,1,0
141,462,TRANSFER,4342582.37,C1976332867,4342582.37,0.0,C1903233179,0.0,0.0,1,0
142,462,CASH_OUT,4342582.37,C978314426,4342582.37,0.0,C1219260366,5398482.58,9741064.96,1,0
143,460,TRANSFER,217666.25,C2100813963,217666.25,0.0,C2073514796,0.0,0.0,1,0
144,460,TRANSFER,58058.98,C155431672,58058.98,0.0,C1327043210,0.0,0.0,1,0
145,154,TRANSFER,442722.01,C1197049962,442722.01,0.0,C1656842502,0.0,0.0,1,0
146,460,CASH_OUT,414095.91,C593887896,414095.91,0.0,C434667197,0.0,414095.91,1,0
147,458,TRANSFER,256556.98,C2126395117,256556.98,0.0,C999470580,0.0,0.0,1,0
148,458,CASH_OUT,256556.98,C1479418663,256556.98,0.0,C756475678,5902110.04,6158667.02,1,0
149,458,TRANSFER,167806.93,C1165837899,167806.93,0.0,C2049883242,0.0,0.0,1,0
150,458,CASH_OUT,167806.93,C964445001,167806.93,0.0,C1195194203,0.0,167806.93,1,0
151,681,CASH_OUT,8104557.88,C397420710,8104557.88,0.0,C1434531714,0.0,8104557.88,1,0
152,681,TRANSFER,8104557.88,C2106211047,8104557.88,0.0,C1629558772,0.0,0.0,1,0
153,458,TRANSFER,22140.87,C1032891419,22140.87,0.0,C347989965,0.0,0.0,1,0
154,458,CASH_OUT,22140.87,C679560563,22140.87,0.0,C1441581953,25511.14,47652.0,1,0
155,459,TRANSFER,4153.02,C1504417393,4153.02,0.0,C413981813,0.0,0.0,1,0
156,459,CASH_OUT,4153.02,C1685125917,4153.02,0.0,C1463620824,0.0,4153.02,1,0
157,459,TRANSFER,46130.88,C1045907901,46130.88,0.0,C1384446029,0.0,0.0,1,0
158,459,CASH_OUT,46130.88,C1862849619,46130.88,0.0,C1553982195,0.0,46130.88,1,0
159,459,TRANSFER,1153156.0,C1788207069,1153156.0,0.0,C2113625922,0.0,0.0,1,0
160,459,CASH_OUT,1153156.0,C165575041,1153156.0,0.0,C1041543827,0.0,1153156.0,1,0
161,459,TRANSFER,277611.08,C1304518547,277611.08,0.0,C230736806,0.0,0.0,1,0
162,459,CASH_OUT,277611.08,C2028451849,277611.08,0.0,C677754789,1588077.25,1865688.33,1,0
163,460,TRANSFER,76548.48,C2008095547,76548.48,0.0,C2016906281,0.0,0.0,1,0
164,460,CASH_OUT,76548.48,C2032238862,76548.48,0.0,C881850638,2635449.31,2711997.79,1,0
165,460,TRANSFER,998086.61,C1107781229,998086.61,0.0,C2074418507,0.0,0.0,1,0
166,460,CASH_OUT,998086.61,C175000067,998086.61,0.0,C1507172682,440777.77,1438864.38,1,0
167,460,TRANSFER,2059980.16,C1506089450,2059980.16,0.0,C1564280287,0.0,0.0,1,0
168,460,CASH_OUT,2059980.16,C617173071,2059980.16,0.0,C706638819,734579.21,2794559.36,1,0
169,460,TRANSFER,440962.56,C847706686,440962.56,0.0,C719419922,0.0,0.0,1,0
170,460,CASH_OUT,440962.56,C719693497,440962.56,0.0,C1184164392,1196175.58,1637138.14,1,0
171,460,TRANSFER,414095.91,C1558078875,414095.91,0.0,C1062681354,0.0,0.0,1,0
172,462,TRANSFER,67921.66,C244092764,67921.66,0.0,C1927485075,0.0,0.0,1,0
173,462,CASH_OUT,67921.66,C1120272474,67921.66,0.0,C521660749,338544.14,406465.81,1,0
174,462,TRANSFER,102464.68,C1418607659,102464.68,0.0,C1595540217,0.0,0.0,1,0
175,462,CASH_OUT,102464.68,C287402036,102464.68,0.0,C95792829,117288.38,219753.06,1,0
176,464,TRANSFER,1506795.1,C1107109708,1506795.1,0.0,C2110704276,0.0,0.0,1,0
177,464,CASH_OUT,1506795.1,C1504023425,1506795.1,0.0,C538717920,39851.76,1546646.86,1,0
178,464,TRANSFER,86111.65,C2018450953,86111.65,0.0,C1122913595,0.0,0.0,1,0
179,464,CASH_OUT,86111.65,C1793151553,86111.65,0.0,C1653796300,109520.16,195631.81,1,0
180,464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0,1,0
181,464,CASH_OUT,336917.97,C927102285,336917.97,0.0,C1526518047,229355.59,566273.55,1,0
182,465,TRANSFER,2577489.07,C939367162,2577489.07,0.0,C2087484651,0.0,0.0,1,0
183,465,CASH_OUT,2577489.07,C1475261726,2577489.07,0.0,C1054474053,0.0,2577489.07,1,0
184,465,TRANSFER,563388.67,C1663837850,563388.67,0.0,C76747824,0.0,0.0,1,0
185,465,CASH_OUT,563388.67,C1205919663,563388.67,0.0,C1646816538,0.0,563388.67,1,0
186,465,TRANSFER,461255.26,C470923235,461255.26,0.0,C588226024,0.0,0.0,1,0
187,465,CASH_OUT,461255.26,C1047897914,461255.26,0.0,C559992116,34467.19,495722.45,1,0
188,465,TRANSFER,44946.2,C1504640849,44946.2,0.0,C1013931672,0.0,0.0,1,0
189,465,CASH_OUT,44946.2,C1797253023,44946.2,0.0,C1822942612,1136952.09,1181898.29,1,0
190,465,TRANSFER,4690769.98,C43271707,4690769.98,0.0,C2144586539,0.0,0.0,1,0
191,465,CASH_OUT,4690769.98,C1265105517,4690769.98,0.0,C1603347069,0.0,4690769.98,1,0
192,465,TRANSFER,1760061.57,C1704841255,1760061.57,0.0,C1345313578,0.0,0.0,1,0
193,465,CASH_OUT,1760061.57,C1907027988,1760061.57,0.0,C1368065448,142305.44,1902367.02,1,0
194,466,TRANSFER,104171.37,C952245558,104171.37,0.0,C2101227966,0.0,0.0,1,0
195,466,CASH_OUT,104171.37,C1321085787,104171.37,0.0,C203735779,64407.18,168578.56,1,0
196,211,CASH_OUT,55920.39,C1899996143,55920.39,0.0,C1567322020,0.0,55920.39,1,0
197,211,TRANSFER,55920.39,C588214650,55920.39,0.0,C1302604885,0.0,0.0,1,0
198,154,CASH_OUT,1581441.8,C1521962059,1581441.8,0.0,C1036969884,3429635.45,5011077.25,1,0
199,154,TRANSFER,1581441.8,C1665891733,1581441.8,0.0,C1915924384,0.0,0.0,1,0
200,154,CASH_OUT,442722.01,C1825078209,442722.01,0.0,C216559212,90335.5,533057.51,1,0
201,464,CASH_OUT,125464.42,C448860094,125464.42,0.0,C1332940364,332131.92,457596.34,1,0
202,464,TRANSFER,125464.42,C132433393,125464.42,0.0,C254097050,0.0,0.0,1,0
203,464,CASH_OUT,1027963.96,C1009032350,1027963.96,0.0,C1867593514,3216668.79,4244632.75,1,0
204,463,CASH_OUT,1168274.14,C383746092,1168274.14,0.0,C794646915,0.0,1168274.14,1,0
205,462,TRANSFER,46190.9,C2067653411,46190.9,0.0,C1402116137,0.0,0.0,1,0
206,462,CASH_OUT,46190.9,C160168142,46190.9,0.0,C1459561697,0.0,46190.9,1,0
207,462,TRANSFER,155028.83,C750908080,155028.83,0.0,C279725072,0.0,0.0,1,0
208,462,CASH_OUT,155028.83,C909860820,155028.83,0.0,C411004597,0.0,155028.83,1,0
209,462,TRANSFER,167743.93,C579573451,167743.93,0.0,C987393521,0.0,0.0,1,0
210,462,CASH_OUT,167743.93,C1955616732,167743.93,0.0,C1170488365,219716.29,387460.22,1,0
211,462,TRANSFER,1433038.32,C1474789260,1433038.32,0.0,C991335856,0.0,0.0,1,0
212,462,CASH_OUT,1433038.32,C994987867,1433038.32,0.0,C725098002,116466.92,1549505.24,1,0
213,463,TRANSFER,4152435.91,C1158527799,4152435.91,0.0,C1983304819,0.0,0.0,1,0
214,463,CASH_OUT,4152435.91,C869608189,4152435.91,0.0,C1391783413,0.0,4152435.91,1,0
215,463,TRANSFER,1168274.14,C1604466708,1168274.14,0.0,C1732055737,0.0,0.0,1,0
216,463,TRANSFER,279826.54,C1042499011,279826.54,0.0,C1660783549,0.0,0.0,1,0
217,464,TRANSFER,1027963.96,C2080701542,1027963.96,0.0,C446782589,0.0,0.0,1,0
218,463,CASH_OUT,279826.54,C616239672,279826.54,0.0,C583085719,492054.19,771880.72,1,0
219,463,TRANSFER,1968008.53,C1548769886,1968008.53,0.0,C1779956771,0.0,0.0,1,0
220,463,CASH_OUT,1968008.53,C1471437030,1968008.53,0.0,C765536045,615855.0,2583863.54,1,0
221,463,TRANSFER,219300.76,C60906417,219300.76,0.0,C1482453836,0.0,0.0,1,0
222,463,CASH_OUT,219300.76,C1410654808,219300.76,0.0,C1763889280,19058370.95,19277671.71,1,0
223,464,TRANSFER,4640633.37,C180932654,4640633.37,0.0,C1673286866,0.0,0.0,1,0
224,464,CASH_OUT,4640633.37,C2144262905,4640633.37,0.0,C1372520966,0.0,4640633.37,1,0
225,464,TRANSFER,880975.83,C1991993954,880975.83,0.0,C1163515588,0.0,0.0,1,0
226,464,CASH_OUT,880975.83,C97407183,880975.83,0.0,C665978376,1271.78,882247.61,1,0
227,464,TRANSFER,1219062.64,C357942750,1219062.64,0.0,C1229695480,0.0,0.0,1,0
228,464,CASH_OUT,1219062.64,C1256913473,1219062.64,0.0,C967785353,278750.5,1497813.13,1,0
229,169,TRANSFER,19244.9,C1225444134,19244.9,0.0,C999409522,0.0,0.0,1,0
230,322,CASH_OUT,9208368.83,C1490382663,9208368.83,0.0,C601562346,115423.33,9323792.17,1,0
231,457,TRANSFER,879136.17,C2075685093,879136.17,0.0,C1475814137,0.0,0.0,1,0
232,671,TRANSFER,61505.06,C1590661770,61505.06,0.0,C1045739215,0.0,0.0,1,0
233,671,TRANSFER,3441041.46,C917414431,3441041.46,3441041.46,C1082139865,0.0,0.0,1,1
234,671,CASH_OUT,10000000.0,C1086171385,10000000.0,0.0,C1542053333,980488.81,10980488.81,1,0
235,671,TRANSFER,10000000.0,C1607380762,13441041.46,3441041.46,C1683234279,0.0,0.0,1,0
236,671,CASH_OUT,10000000.0,C546529,10000000.0,0.0,C1056895901,0.0,10000000.0,1,0
237,671,TRANSFER,10000000.0,C475879190,23441041.46,13441041.46,C1395082788,0.0,0.0,1,0
238,671,CASH_OUT,10000000.0,C1122738410,10000000.0,0.0,C875530566,16889.8,10016889.8,1,0
239,671,TRANSFER,10000000.0,C916267146,33441041.46,23441041.46,C1505960727,0.0,0.0,1,0
240,671,CASH_OUT,152724.32,C1062499255,152724.32,0.0,C455705565,0.0,152724.32,1,0
241,671,TRANSFER,152724.32,C1406252838,152724.32,0.0,C1821499919,0.0,0.0,1,0
242,671,CASH_OUT,36956.27,C1768139815,36956.27,0.0,C1475840276,116628.89,153585.15,1,0
243,671,TRANSFER,36956.27,C958794947,36956.27,0.0,C1433224655,0.0,0.0,1,0
244,671,CASH_OUT,188731.21,C1456949196,188731.21,0.0,C1275666742,591154.11,779885.32,1,0
245,671,TRANSFER,188731.21,C1388119731,188731.21,0.0,C1365710126,0.0,0.0,1,0
246,671,CASH_OUT,3544.76,C1600071460,3544.76,0.0,C866057114,1149120.99,1152665.75,1,0
247,671,TRANSFER,3544.76,C722684356,3544.76,0.0,C1017361151,0.0,0.0,1,0
248,670,CASH_OUT,1001446.44,C1868561547,1001446.44,0.0,C597212846,0.0,1001446.44,1,0
249,670,TRANSFER,1001446.44,C1562259675,1001446.44,0.0,C1017072686,0.0,0.0,1,0
250,670,CASH_OUT,2113271.99,C1131491121,2113271.99,0.0,C1812574697,1444605.24,3557877.23,1,0
251,670,TRANSFER,2113271.99,C843436467,2113271.99,0.0,C645604137,0.0,0.0,1,0
252,670,CASH_OUT,10000000.0,C1795726585,10000000.0,0.0,C912767355,1476475.64,11476475.64,1,0
253,670,TRANSFER,10000000.0,C2085303535,12113271.99,2113271.99,C1010370571,0.0,0.0,1,0
254,403,CASH_OUT,2178303.49,C694832431,2178303.49,0.0,C1264552873,0.0,2178303.49,1,0
255,403,TRANSFER,2178303.49,C128992115,2178303.49,0.0,C1283463094,0.0,0.0,1,0
256,168,CASH_OUT,7513581.46,C1768255591,7513581.46,0.0,C610130308,1190957.66,8704539.12,1,0
257,168,TRANSFER,7513581.46,C1185526711,7513581.46,0.0,C342454180,0.0,0.0,1,0
258,671,CASH_OUT,0.0,C1960007029,0.0,0.0,C459118517,27938.72,27938.72,1,0
259,671,CASH_OUT,61505.06,C1939346378,61505.06,0.0,C551669162,287479.07,348984.13,1,0
260,670,TRANSFER,929106.32,C1689585176,929106.32,0.0,C57612044,0.0,0.0,1,0
261,672,TRANSFER,7218629.01,C426878281,7218629.01,0.0,C1596412871,0.0,0.0,1,0
262,673,CASH_OUT,888905.27,C1419832653,888905.27,0.0,C471935282,220392.44,1109297.71,1,0
263,673,TRANSFER,888905.27,C130753302,888905.27,0.0,C1877166581,0.0,0.0,1,0
264,673,CASH_OUT,145067.24,C980295084,145067.24,0.0,C1347498132,1415212.22,1560279.46,1,0
265,673,TRANSFER,145067.24,C779070878,145067.24,0.0,C286939302,0.0,0.0,1,0
266,673,CASH_OUT,645104.5,C649790605,645104.5,0.0,C351734754,0.0,645104.5,1,0
267,673,TRANSFER,645104.5,C986606051,645104.5,0.0,C175407589,0.0,0.0,1,0
268,469,TRANSFER,245106.78,C568285041,245106.78,0.0,C867659609,0.0,0.0,1,0
269,469,CASH_OUT,245106.78,C1403929359,245106.78,0.0,C1934932538,2622766.27,2867873.04,1,0
270,395,TRANSFER,117683.42,C461302689,117683.42,0.0,C96260697,0.0,0.0,1,0
271,395,CASH_OUT,117683.42,C1618036378,117683.42,0.0,C356995012,1206243.52,1323926.94,1,0
272,673,CASH_OUT,329055.47,C2044227018,329055.47,0.0,C355168842,0.0,329055.47,1,0
273,673,TRANSFER,329055.47,C1091119024,329055.47,0.0,C538971825,0.0,0.0,1,0
